Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
PICHINCHA;-0,2253545;-78,5094293;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;2/3/2023;ENCONTRADO;3/3/2023
PICHINCHA;-0,0036949;-78,4502185;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;24/3/2023;ENCONTRADO;26/3/2023
TUNGURAHUA;-1,19452644;-78,63847375;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;6/4/2023;ENCONTRADO;14/4/2023
BOLIVAR;-1,80833099;-79,10103968;29;MUJER;SIN_DATO;SIN_DATO;20/4/2023;DESAPARECIDO;SIN_DATO
LOS RIOS;-1,80237662;-79,53847021;48;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;6/3/2023;ENCONTRADO;14/3/2023
SUCUMBIOS;0,112781;-76,872708;11;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;2/1/2023;ENCONTRADO;4/1/2023
BOLIVAR;-1,5911691;-78,9990379;16;MUJER;PROBLEMAS ACADÉMICOS;BAJO RENDIMIENTO;3/1/2023;ENCONTRADO;4/1/2023
SUCUMBIOS;-0,19784689;-76,54499091;46;MUJER;PROBLEMA ECÓNOMICOS;DEUDAS;3/1/2023;ENCONTRADO;4/1/2023
PICHINCHA;-0,18498604;-78,51001997;94;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;3/1/2023;ENCONTRADO;3/1/2023
BOLIVAR;-1,5585611;-79,0093181;12;MUJER;SIN_DATO;SIN_DATO;18/4/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,3318779;-78,5243629;38;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;3/3/2023;ENCONTRADO;10/3/2023
PICHINCHA;-0,1623729;-78,490358;16;MUJER;PROBLEMAS ACADÉMICOS;BULLYING (MALTRATO ESCOLAR);3/1/2023;ENCONTRADO;3/1/2023
PICHINCHA;-0,1081851;-78,4585723;49;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;1/1/2023;ENCONTRADO;5/1/2023
CARCHI;0,80150142;-77,73244282;56;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;2/1/2023;ENCONTRADO;5/1/2023
PICHINCHA;-0,14170544;-78,47872795;24;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;24/3/2023;ENCONTRADO;25/3/2023
CHIMBORAZO;-1,67845435;-78,64358253;16;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;5/1/2023;ENCONTRADO;4/2/2023
PICHINCHA;-0,2188216;-78,5135489;20;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;4/3/2023;ENCONTRADO;5/3/2023
CHIMBORAZO;-1,6650227;-78,6588786;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/1/2023;ENCONTRADO;4/2/2023
CHIMBORAZO;-1,6666681;-78,6439431;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;2/1/2023;ENCONTRADO;3/1/2023
GUAYAS;-2,1254297;-79,8970457;12;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/1/2023;ENCONTRADO;5/1/2023
CHIMBORAZO;-2,2898244;-78,9217522;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;4/1/2023;ENCONTRADO;5/1/2023
AZUAY;-2,86603889;-78,96510708;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;3/1/2023;ENCONTRADO;6/1/2023
GUAYAS;-2,248962;-79,92407941;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;5/1/2023;ENCONTRADO;7/1/2023
PICHINCHA;-0,1568082;-78,4794568;22;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;1/3/2023;ENCONTRADO;3/3/2023
GUAYAS;-2,22391544;-79,93880712;15;HOMBRE;PERDIDO;NINOS NINAS PERDIDOS;1/1/2023;ENCONTRADO;2/1/2023
EL ORO;-3,2863989;-79,9576543;15;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;2/1/2023;ENCONTRADO;18/1/2023
PICHINCHA;-0,2394992;-78,5021861;18;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;28/2/2023;ENCONTRADO;3/3/2023
IMBABURA;0,231457;-78,2591859;45;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;22/3/2023;ENCONTRADO;23/3/2023
EL ORO;-3,25577616;-79,98920875;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;4/1/2023;ENCONTRADO;6/1/2023
GUAYAS;-1,8924904;-79,9322151;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;4/1/2023;ENCONTRADO;5/1/2023
PICHINCHA;-0,1918287;-78,5114185;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/1/2023;ENCONTRADO;10/1/2023
PICHINCHA;-0,22947;-78,5229098;74;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;4/3/2023;ENCONTRADO;5/3/2023
ESMERALDAS;0,96870731;-79,65080874;28;HOMBRE;PROBLEMA ECÓNOMICOS;DEUDAS;5/1/2023;ENCONTRADO;7/1/2023
ESMERALDAS;0,91695029;-79,68684673;15;MUJER;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;3/1/2023;ENCONTRADO;6/1/2023
PICHINCHA;-0,156224;-78,4629495;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/1/2023;ENCONTRADO;6/1/2023
PICHINCHA;-0,27887131;-78,51611826;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;3/3/2023;ENCONTRADO;5/3/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,61739569;-79,21809498;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;4/1/2023;ENCONTRADO;9/1/2023
CHIMBORAZO;-1,6629948;-78,6460247;13;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;6/1/2023;ENCONTRADO;7/1/2023
CHIMBORAZO;-1,6650227;-78,6588786;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;3/1/2023;ENCONTRADO;6/1/2023
IMBABURA;0,3552973;-78,1250848;7;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;5/1/2023;ENCONTRADO;6/1/2023
SUCUMBIOS;-0,2971506;-76,65877151;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;3/1/2023;ENCONTRADO;7/1/2023
SUCUMBIOS;-0,2971506;-76,65877151;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;3/1/2023;ENCONTRADO;7/1/2023
MANABI;-1,0477792;-80,4604678;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;7/1/2023;ENCONTRADO;8/1/2023
MANABI;-0,96557683;-80,43799212;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;3/1/2023;ENCONTRADO;7/1/2023
GUAYAS;-2,17163531;-79,89054269;28;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;3/3/2023;ENCONTRADO;4/3/2023
GUAYAS;-2,17163531;-79,89054269;20;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;3/3/2023;ENCONTRADO;4/3/2023
ZAMORA CHINCHIPE;-3,89101654;-78,78571593;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;15/4/2023;ENCONTRADO;20/4/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,2521882;-79,1879383;19;MUJER;SIN_DATO;SIN_DATO;16/2/2023;DESAPARECIDO;SIN_DATO
MANABI;-0,95349214;-80,64120952;26;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;24/2/2023;ENCONTRADO;14/3/2023
ORELLANA;-0,40800634;-76,99652435;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;1/1/2023;ENCONTRADO;2/2/2023
ORELLANA;-0,45429547;-77,01182256;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/1/2023;ENCONTRADO;20/1/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,2634902;-79,1861889;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;4/1/2023;ENCONTRADO;7/1/2023
MORONA SANTIAGO;-2,31599876;-78,09738318;14;HOMBRE;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;6/1/2023;ENCONTRADO;9/1/2023
IMBABURA;0,2343005;-78,2610672;59;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;3/1/2023;ENCONTRADO;7/1/2023
GUAYAS;-2,1236689;-79,9563417;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;24/2/2023;ENCONTRADO;5/3/2023
GUAYAS;-2,16809776;-79,91539176;25;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;19/2/2023;ENCONTRADO;20/2/2023
PICHINCHA;-0,28007293;-78,51980898;3;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;4/3/2023;ENCONTRADO;5/3/2023
PICHINCHA;-0,28007293;-78,51980898;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;4/3/2023;ENCONTRADO;5/3/2023
BOLIVAR;-1,52057063;-79,003987;16;HOMBRE;PROBLEMAS PSICOLÓGICOS;DEPRESION;7/1/2023;ENCONTRADO;9/1/2023
ZAMORA CHINCHIPE;-3,6201077;-78,58502062;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;25/2/2023;ENCONTRADO;3/3/2023
GUAYAS;-2,2438091;-79,9066763;27;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;3/2/2023;ENCONTRADO;11/3/2023
PICHINCHA;-0,3154995;-78,5504691;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;9/1/2023;ENCONTRADO;10/1/2023
PICHINCHA;-0,2987692;-78,5227802;74;MUJER;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;18/4/2023;ENCONTRADO;20/4/2023
GUAYAS;-2,1225293;-80,000135;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/3/2023;ENCONTRADO;28/3/2023
TUNGURAHUA;-1,23635948;-78,61592174;18;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;9/1/2023;ENCONTRADO;11/1/2023
EL ORO;-3,2407634;-79,8320885;13;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;9/1/2023;ENCONTRADO;10/1/2023
EL ORO;-3,23807551;-79,95160432;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;2/1/2023;ENCONTRADO;8/1/2023
PICHINCHA;-0,10544241;-78,49642128;20;HOMBRE;PROBLEMAS PSICOLÓGICOS;BIPOLARIDAD;5/1/2023;ENCONTRADO;8/1/2023
PICHINCHA;-0,24991539;-78,54994479;51;HOMBRE;EXTRAVIADA;HOSPITALIZADO;6/1/2023;ENCONTRADO;7/1/2023
MANABI;-0,35020788;-80,32411589;6;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;4/1/2023;ENCONTRADO;9/1/2023
MANABI;-0,35020788;-80,32411589;2;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;4/1/2023;ENCONTRADO;9/1/2023
GUAYAS;-2,26772002;-79,8795355;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;6/1/2023;ENCONTRADO;10/1/2023
PICHINCHA;-0,087507;-78,4691467;36;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;3/3/2023;ENCONTRADO;5/3/2023
GUAYAS;-2,12521201;-79,89754025;16;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;6/1/2023;ENCONTRADO;9/1/2023
TUNGURAHUA;-1,28866986;-78,64274737;36;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;6/1/2023;ENCONTRADO;12/1/2023
PICHINCHA;-0,2955721;-78,5559712;60;HOMBRE;SIN_DATO;SIN_DATO;20/4/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,10058629;-79,95340354;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;4/1/2023;ENCONTRADO;9/1/2023
CHIMBORAZO;-1,709009;-78,6456989;18;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;6/1/2023;ENCONTRADO;9/1/2023
TUNGURAHUA;-1,3128375;-78,5064473;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;5/1/2023;ENCONTRADO;11/1/2023
EL ORO;-3,2636171;-79,9518039;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;9/1/2023;ENCONTRADO;10/1/2023
PICHINCHA;-0,0754897;-78,4403064;19;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;8/1/2023;ENCONTRADO;12/1/2023
GUAYAS;-1,99815755;-79,48488073;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;1/1/2023;ENCONTRADO;10/1/2023
LOS RIOS;-1,11556159;-79,43630521;15;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;9/1/2023;ENCONTRADO;10/1/2023
CHIMBORAZO;-1,7024439;-78,6226618;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;27/2/2023;ENCONTRADO;1/3/2023
CAÑAR;-2,4967536;-79,47998164;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;9/1/2023;ENCONTRADO;15/1/2023
AZUAY;-2,88599948;-78,9982997;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;7/1/2023;ENCONTRADO;10/1/2023
PICHINCHA;0,0271247;-78,148589;27;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;3/1/2023;ENCONTRADO;11/1/2023
PICHINCHA;-0,1405982;-78,4634143;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;9/1/2023;ENCONTRADO;11/1/2023
MANABI;-1,06229822;-80,45995154;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;4/3/2023;ENCONTRADO;4/3/2023
MANABI;-1,06229822;-80,45995154;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;4/3/2023;ENCONTRADO;4/3/2023
IMBABURA;0,2307945;-78,2579446;67;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;19/3/2023;ENCONTRADO;24/3/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,24383518;-79,33139352;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;18/4/2023;ENCONTRADO;24/4/2023
AZUAY;-2,88292991;-78,98087919;11;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/1/2023;ENCONTRADO;11/1/2023
ESMERALDAS;1,28324394;-78,8330263;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/1/2023;ENCONTRADO;7/2/2023
GUAYAS;-2,05463428;-79,87605231;20;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;2/1/2023;ENCONTRADO;11/1/2023
PICHINCHA;-0,0949207;-78,4737736;25;HOMBRE;FALLECIDO;ACCIDENTAL;8/1/2023;FALLECIDO;11/1/2023
GUAYAS;-2,276769;-79,8953879;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;2/1/2023;ENCONTRADO;11/1/2023
ESMERALDAS;0,9082384;-79,68184227;29;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;7/1/2023;ENCONTRADO;11/1/2023
PICHINCHA;-0,03921053;-78,1599145;16;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;2/1/2023;ENCONTRADO;11/1/2023
PICHINCHA;-0,12720318;-78,31562925;30;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;5/3/2023;ENCONTRADO;4/4/2023
AZUAY;-3,05043968;-78,79727125;46;HOMBRE;SIN_DATO;SIN_DATO;11/4/2023;DESAPARECIDO;SIN_DATO
EL ORO;-3,39820991;-79,84443049;26;MUJER;SIN_DATO;SIN_DATO;20/3/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,12720318;-78,31562925;31;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;5/3/2023;ENCONTRADO;4/4/2023
PICHINCHA;-0,2142238;-78,5107083;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;9/1/2023;ENCONTRADO;10/1/2023
PICHINCHA;-0,2533372;-78,5476296;28;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;6/1/2023;ENCONTRADO;11/1/2023
GUAYAS;-2,22245214;-79,88653193;24;HOMBRE;FALLECIDO;NO DETERMINADA;8/1/2023;FALLECIDO;10/1/2023
GUAYAS;-2,1680049;-79,803058;45;HOMBRE;EXTRAVIADA;ACCIDENTADO;4/3/2023;ENCONTRADO;5/3/2023
GUAYAS;-2,1262155;-79,6985155;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;11/1/2023;ENCONTRADO;16/1/2023
PASTAZA;-1,49468909;-78,01431722;26;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;12/3/2023;ENCONTRADO;27/3/2023
PICHINCHA;-0,0929857;-78,44966235;20;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;18/4/2023;ENCONTRADO;20/4/2023
MANABI;-1,5541843;-80,4257584;13;MUJER;PROBLEMAS FAMILIARES;MALTRATO SEXUAL;27/2/2023;ENCONTRADO;4/3/2023
PICHINCHA;-0,0913546;-78,4701304;18;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/1/2023;ENCONTRADO;12/1/2023
GUAYAS;-2,07763452;-79,92533296;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;3/1/2023;ENCONTRADO;12/1/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,25492423;-79,12309925;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;10/1/2023;ENCONTRADO;19/1/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,23365407;-79,18501248;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/3/2023;ENCONTRADO;22/3/2023
AZUAY;-3,33810387;-79,06477982;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;7/1/2023;ENCONTRADO;19/1/2023
PICHINCHA;-0,3425777;-78,5469197;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;9/1/2023;ENCONTRADO;12/1/2023
GUAYAS;-2,17395577;-79,811849;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;3/3/2023;ENCONTRADO;28/3/2023
PICHINCHA;-0,2323901;-78,4488287;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;9/1/2023;ENCONTRADO;12/1/2023
SUCUMBIOS;0,08628525;-77,1677851;11;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;11/1/2023;ENCONTRADO;12/1/2023
NAPO;-0,9962972;-77,8136035;34;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/4/2023;ENCONTRADO;21/4/2023
PICHINCHA;-0,1303767;-78,4440136;18;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;5/3/2023;ENCONTRADO;6/3/2023
PICHINCHA;-0,4066126;-78,5462098;25;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;13/1/2023;ENCONTRADO;16/1/2023
ESMERALDAS;0,804828;-79,940308;29;HOMBRE;FALLECIDO;HOMICIDIO;2/1/2023;FALLECIDO;13/1/2023
AZUAY;-2,8893991;-79,005589;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/1/2023;ENCONTRADO;14/1/2023
PICHINCHA;-0,2553166;-78,55329839;14;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;20/4/2023;ENCONTRADO;3/5/2023
MANABI;-0,4047096;-79,9057063;3;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/1/2023;ENCONTRADO;13/1/2023
PICHINCHA;-0,0857717;-78,5078677;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/1/2023;ENCONTRADO;14/1/2023
AZUAY;-3,0510692;-78,7957856;18;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;25/2/2023;ENCONTRADO;5/3/2023
AZUAY;-2,96039931;-78,77261809;55;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;16/2/2023;ENCONTRADO;6/3/2023
COTOPAXI;-0,9171435;-78,632781;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;3/3/2023;ENCONTRADO;6/3/2023
SUCUMBIOS;0,07788576;-76,89437629;25;HOMBRE;FALLECIDO;NO DETERMINADA;25/3/2023;FALLECIDO;28/3/2023
PICHINCHA;-0,5171654;-78,5807401;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/1/2023;ENCONTRADO;14/1/2023
GUAYAS;-2,0995447;-79,9182208;17;HOMBRE;FALLECIDO;NO DETERMINADA;10/1/2023;FALLECIDO;12/1/2023
EL ORO;-3,25569287;-79,97257233;6;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/1/2023;ENCONTRADO;14/1/2023
GUAYAS;-2,1556299;-79,7828127;15;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/1/2023;ENCONTRADO;13/1/2023
PICHINCHA;-0,3091615;-78,5483395;21;MUJER;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;3/3/2023;ENCONTRADO;6/3/2023
PICHINCHA;-0,1235333;-78,5048458;24;MUJER;PROBLEMAS PSICOLÓGICOS;DEPRESION;8/1/2023;ENCONTRADO;10/1/2023
CHIMBORAZO;-1,6554746;-78,6702973;27;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;2/1/2023;ENCONTRADO;14/1/2023
CHIMBORAZO;-1,6554746;-78,6702973;5;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;2/1/2023;ENCONTRADO;14/1/2023
CHIMBORAZO;-1,6554746;-78,6702973;7;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;2/1/2023;ENCONTRADO;14/1/2023
PICHINCHA;-0,2113598;-78,5213601;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;12/1/2023;ENCONTRADO;14/1/2023
GUAYAS;-2,1222822;-79,96814049;21;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/1/2023;ENCONTRADO;15/1/2023
PICHINCHA;-0,04098947;-78,45585823;21;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/3/2023;ENCONTRADO;18/3/2023
EL ORO;-3,2581112;-79,9553924;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;5/3/2023;ENCONTRADO;7/3/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,24360431;-79,16837885;78;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;6/4/2023;ENCONTRADO;22/4/2023
PICHINCHA;-0,3146145;-78,5316557;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/1/2023;ENCONTRADO;15/1/2023
GUAYAS;-2,1894128;-79,8890662;44;HOMBRE;FALLECIDO;NO DETERMINADA;14/1/2023;FALLECIDO;8/2/2023
ESMERALDAS;0,804828;-79,940308;17;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;1/1/2023;ENCONTRADO;16/1/2023
PICHINCHA;-0,3040402;-78,5591699;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;13/1/2023;ENCONTRADO;14/1/2023
CHIMBORAZO;-1,6583289;-78,6725777;23;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/1/2023;ENCONTRADO;16/1/2023
GUAYAS;-2,16777703;-79,83788329;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;9/1/2023;ENCONTRADO;15/1/2023
MORONA SANTIAGO;-2,45907715;-78,16793447;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;8/1/2023;ENCONTRADO;17/1/2023
COTOPAXI;-0,9411949;-79,2316042;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;16/1/2023;ENCONTRADO;19/1/2023
LOJA;-3,98556534;-79,2358768;61;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/1/2023;ENCONTRADO;15/1/2023
PICHINCHA;-0,30855983;-78,56185913;10;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;16/1/2023;ENCONTRADO;16/1/2023
GUAYAS;-2,1328143;-79,9703317;14;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/1/2023;ENCONTRADO;17/1/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,2712599;-79,1854953;76;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/1/2023;ENCONTRADO;20/3/2023
GUAYAS;-2,1932598;-79,8900565;22;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;14/1/2023;ENCONTRADO;16/1/2023
PICHINCHA;-0,2612552;-78,519082;74;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;14/1/2023;ENCONTRADO;17/1/2023
CHIMBORAZO;-1,8880488;-78,7228209;18;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;12/1/2023;ENCONTRADO;18/1/2023
COTOPAXI;-0,82535284;-78,64213222;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;13/1/2023;ENCONTRADO;16/1/2023
ESMERALDAS;0,96777295;-79,64976287;14;MUJER;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;5/1/2023;ENCONTRADO;11/1/2023
COTOPAXI;-0,86111986;-78,59704742;48;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;12/1/2023;ENCONTRADO;16/1/2023
COTOPAXI;-0,76090393;-78,57851863;57;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;11/1/2023;ENCONTRADO;17/1/2023
